Mês;  Até 18 anos  ;R$ até 18 anos; 19-25 anos ;R$ 19-25 anos; 26-30 anos ;R$ 26-30 anos; 31-40 anos ;R$ 31-40 anos; 41-50 anos ;R$ 41-50 anos; 51-59 anos ;R$ 51-59 anos; ≥ 60 anos ;R$ ≥ 60 anos;  ≥ 80 anos ; R$ ≥ 80 anos
mai/17;280;395.807,25;2.427;1.680.969,11;10.271;8.076.159,92;36.640;38.743.624,53;31.727;47.646.419,31;24.780;47.158.507,40;22.107;69.787.535,46; Não disponível ;Não disponível
abr/17;211;392.317,13;2.125;1.635.979,16;8.599;7.669.477,77;29.721;36.825.262,86;25.131;45.429.544,53;20.133;45.801.566,07;19.043;79.167.653,46; Não disponível ;Não disponível
mar/17;189;305.837,55;1.869;1.865.991,61;9.734;9.453.381,31;39.453;52.435.731,00;43.452;71.426.148,18;34.689;67.026.582,12;26.921;78.957.702,90; Não disponível ;Não disponível
fev/17;166;207.232,65;1.668;1.873.481,37;8.871;9.965.184,01;34.539;52.154.241,68;31.471;64.442.361,18;23.573;55.690.446,86;15.543;65.667.052,25; Não disponível ;Não disponível
jan/17;247;510.898,10;2.707;2.828.116,49;13.890;15.819.468,05;53.731;83.316.698,04;48.205;102.228.448,47;37.629;89.674.626,12;21.130;75.621.744,73; Não disponível ;Não disponível
dez/16;2.627;4.177.233,62;72.477;45.845.335,98;247.796;213.995.768,47;653.739;845.989.858,09;449.118;796.821.776,05;275.091;529.172.546,27;16.748;63.997.481,52; Não disponível ;Não disponível
nov/16;3.528;5.152.750,95;93.860;54.367.360,95;327.114;259.072.590,37;829.106;918.948.548,12;584.106;847.571.376,41;392.055;603.226.105,67;14.710;61.661.267,53; Não disponível ;Não disponível
out/16;3.416;4.992.896,15;83.961;50.111.127,37;300.151;241.298.304,07;774.936;837.006.330,59;590.747;813.572.177,83;443.044;651.421.722,23;25.150;101.597.441,76; Não disponível ;Não disponível
set/16;3.331;4.826.986,54;80.733;48.446.764,15;282.199;224.848.918,25;727.480;785.970.352,63;579.563;786.236.197,00;465.233;679.702.151,64;37.916;169.968.629,79; Não disponível ;Não disponível
ago/16;2.386;3.540.522,09;70.337;43.139.248,10;247.128;207.356.140,59;655.698;771.748.889,69;529.217;789.235.649,17;416.779;660.744.855,31;36.977;174.234.695,05; Não disponível ;Não disponível
jul/16;1.297;1.976.197,09;32.808;24.014.755,83;128.442;131.446.214,06;373.064;561.638.985,61;307.412;622.594.649,49;246.363;504.002.750,13;477.147;854.326.447,79; Não disponível ;Não disponível
jun/16;265;345.695,51;1.886;1.571.978,14;6.779;6.798.410,55;24.386;38.018.597,77;32.195;59.875.478,20;48.251;83.744.627,68;1.499.168;2.459.645.212,15; Não disponível ;Não disponível
mai/16;180;256.523,47;982;783.683,44;5.159;4.975.675,11;18.198;23.886.944,17;16.474;30.365.762,32;13.682;32.218.261,54;17.106;57.513.149,95; Não disponível ;Não disponível
abr/16;203;327.577,92;1.862;1.929.512,62;8.893;8.397.321,96;29.296;35.896.182,58;26.560;46.949.175,91;22.335;51.034.692,59;25.975;85.465.536,42; Não disponível ;Não disponível
mar/16;59;87.059,13;592;713.857,03;2.738;3.735.821,03;9.751;17.291.234,92;8.851;21.830.541,15;7.178;23.447.915,02;7.341;42.893.571,72; Não disponível ;Não disponível
